{Label: GearOilTemperature_val, Match: hasInputOilAverageTemperature, Ontology: PlatoonWindturbine.txt, Score: 1}
{Label: TurbineControl_PitchAngles [deg](1), Match: Hydraulic Pitch Proportional Valve, Ontology: EnershareWindturbine, Score: 1}  
{Label: TurbineControl_PitchAngles [deg](2), Match: Hydraulic Pitch High Pressure Hose, Ontology: EnershareWindturbine, Score: 1}  
{Label: TurbineControl_PitchAngles [deg](3), Match: Hydraulic Pitch Low Pressure Hose, Ontology: EnershareWindturbine, Score: 1}  
{Label: TurbineControl_Run, Match: Market, Ontology: EnershareMarket, Score: 1}  
{Label: parc_code, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: mac_code, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: date, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: temperature_Data.AmbientTemp, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: temperature_Data.Blade_A_Temp, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: temperature_Data.Blade_B_Temp, Match: noMatch, Ontology: noMatch file name, Score: 1}
{Label: temperature_Data.Blade_C_Temp, Match: noMatch, Ontology: noMatch file name, Score: 1}
{Label: temperature_Data.CtrlCabinetTemp, Match: noMatch, Ontology: noMatch file name, Score: 1}
{Label: temperature_Data.FrontBearingTemp, Match: noMatch, Ontology: noMatch file name, Score: 1}
{Label: temperature_Data.NacelleAmbientTemp, Match: noMatch, Ontology: noMatch file name, Score: 1}
{Label: temperature_Data.NacelleCtrlCabTemp, Match: noMatch, Ontology: noMatch file name, Score: 1}
{Label: temperature_Data.NacelleTemp, Match: noMatch, Ontology: noMatch file name, Score: 1}
{Label: temperature_Data.NbSamplingValues, Match: noMatch, Ontology: noMatch file name, Score: 1}
{Label: temperature_Data.RearBearingTemp, Match: noMatch, Ontology: noMatch file name, Score: 1}
{Label: temperature_Data.RectifierCab_Temp, Match: noMatch, Ontology: noMatch file name, Score: 1}
{Label: temperature_Data.RotorTemp_1, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: temperature_Data.RotorTemp_2, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: temperature_Data.SpinnerTemp, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: temperature_Data.StatorTemp_1, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: temperature_Data.StatorTemp_2, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: temperature_Data.TempBlade_A_PitchHeatSink, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: temperature_Data.TempBlade_B_PitchHeatSink, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: temperature_Data.TempBlade_C_PitchHeatSink, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: temperature_Data.TempExcitationHeatSink, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: temperature_Data.TempInSys_1_PowerCab_1, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: temperature_Data.TempInSys_1_PowerCab_2, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: temperature_Data.TempInSys_1_PowerCab_3, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: temperature_Data.TempPitchCtrlBox_Blade_A, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: temperature_Data.TempPitchCtrlBox_Blade_B, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: temperature_Data.TempPitchCtrlBox_Blade_C, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: temperature_Data.TempRectifier_1_HeatSink, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: temperature_Data.TempRectifier_2_HeatSink, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: temperature_Data.TowerTemp, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: temperature_Data.TransformerTemp, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: wec_std.Avg_AmbientBrightness, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: wec_std.Avg_AvailableActivePowerLimitedByExtSetPoints, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: wec_std.Avg_BladeAngleAcross_A_B_C, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: wec_std.Avg_LabkoIceAmplForIceDetection, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: wec_std.Avg_MaxAvailableActivePowerLimitedByForceMajeure, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: wec_std.Avg_TechnicallyAvailableActivePower, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: wec_std.Avg_TheoreticallAvailableActivePowerInTheWind, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: wec_std.EnergyProduced, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: wec_std.NacellePosition, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: wec_std.NbSamplingValues, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: wec_std.OperatingHours, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: wec_std.Power.avg, Match: ElectricPowerProperty, Ontology: EnershareSystem.txt, Score: 1}
{Label: wec_std.Power.max, Match: ElectricPowerProperty, Ontology: EnershareSystem.txt, Score: 1}
{Label: wec_std.Power.min, Match: ElectricPowerProperty, Ontology: EnershareSystem.txt, Score: 1}
{Label: wec_std.Precipitation.avg, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: wec_std.Precipitation.max, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: wec_std.Precipitation.min, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: wec_std.ProductivveMinutes, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: wec_std.ReactivePower.avg, Match: ReactivePowerProperty, Ontology: EnershareProperty.txt, Score: 1}
{Label: wec_std.ReactivePower.max, Match: ReactivePowerProperty, Ontology: EnershareProperty.txt, Score: 1}
{Label: wec_std.ReactivePower.min, Match: ReactivePowerProperty, Ontology: EnershareProperty.txt, Score: 1}
{Label: wec_std.RotorSpeed.avg, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: wec_std.RotorSpeed.max, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: wec_std.RotorSpeed.min, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: wec_std.Visibility.avg, Match: Visibility Evaluation, Ontology: PlatoonWeather.txt, Score: 1}  
{Label: wec_std.Visibility.max, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: wec_std.Visibility.min, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: wec_std.WindSpeed.avg, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: wec_std.WindSpeed.max, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: wec_std.WindSpeed.min, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: Time, Match: date, Ontology: OntoWind.txt, Score: 1}  
{Label: ActivePowerGeneration [kW], Match: ElectricPowerProducer, Ontology: SEASElectricPowerSystem, Score: 0.8}  
{Label: ActivePowerConsumption [kW], Match: ElectricPowerConsumer, Ontology: SEASElectricPowerSystem, Score: 0.7}  
{Label: CurrentL1 [A], Match: phase to neutral voltage, Ontology: SEASElectricPowerSystem, Score: 0.6}  
{Label: CurrentL2 [A], Match: R-to-S voltage, Ontology: SEASElectricPowerSystem, Score: 0.6}  
{Label: CurrentL3 [A], Match: S-to-T voltage, Ontology: SEASElectricPowerSystem, Score: 0.6}  
{Label: ReactivePowerGeneration [kvar], Match: Reactive Power Property, Ontology: EnershareProperty, Score: 1}  
{Label: ReactivePowerConsumption [kvar], Match: Reactive Power Property, Ontology: EnershareProperty, Score: 1}  
{Label: VoltageL1 [V], Match: magnitude Voltage, Ontology: EnershareProperty, Score: 0.9}  
{Label: VoltageL2 [V], Match: magnitude Voltage, Ontology: EnershareProperty, Score: 0.9}  
{Label: VoltageL3 [V], Match: magnitude Voltage, Ontology: EnershareProperty, Score: 0.9}  
Here are the mappings for the provided labels:

1. {Label: interval, Match: noMatch, Ontology: noMatch, Score: 1}
2. {Label: Power (kW), Match: noMatch, Ontology: noMatch, Score: 1}
3. {Label: Td (st. C), Match: noMatch, Ontology: noMatch, Score: 1}
4. {Label: Tp (st. C), Match: noMatch, Ontology: noMatch, Score: 1}
5. {Label: Flow (m3/h), Match: noMatch, Ontology: noMatch, Score: 1}
6. {Label: Status of the meter (MWh), Match: noMatch, Ontology: noMatch, Score: 1}
7. {Label: interval, Match: noMatch, Ontology: noMatch, Score: 1}
8. {Label: Tzun (0C), Match: noMatch, Ontology: noMatch, Score: 1}
9. {Label: Td (0C), Match: noMatch, Ontology: noMatch, Score: 1}
10. {Label: Tp (0C), Match: noMatch, Ontology: noMatch, Score: 1}
{Label: Thermal power(kW), Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: UPRA_GJI_ID, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: ZK_GJI_ID, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: TO_CEV_Name, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Diameter_nominal_mm, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: External_diameter_mm, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Year_of_construction, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Year_of_insulation, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Branch, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Type_of_grid_name, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: FunctionName, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: Material_type, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: Owner_name, Match: Owner, Ontology: EnersharePlayer, Score: 1}  
{Label: Manager_Name, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: System_Name, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: Source_Name, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: Accuracy_XY_Name, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: Accuracy_Z_Name, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: GJI_VIS_DATE_Name, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: GJI_ZK_ID, Match: noMatch, Ontology: noMatch file name, Score: 0}  
Here are the mappings for the provided labels:

1. {Label: GEO_Position, Match: noMatch, Ontology: noMatch file name, Score: 0}
2. {Label: Position_of_pipe_system_Name, Match: noMatch, Ontology: noMatch file name, Score: 0}
3. {Label: INVENTORY_ID, Match: noMatch, Ontology: noMatch file name, Score: 0}
4. {Label: OS_ID_MOV, Match: noMatch, Ontology: noMatch file name, Score: 0}
5. {Label: OS_ID_SOS, Match: noMatch, Ontology: noMatch file name, Score: 0}
6. {Label: Inseration_DATE, Match: noMatch, Ontology: noMatch file name, Score: 0}
7. {Label: Change_Date, Match: noMatch, Ontology: noMatch file name, Score: 0}
8. {Label: Comment, Match: noMatch, Ontology: noMatch file name, Score: 0}
9. {Label: TIP_SPR, Match: noMatch, Ontology: noMatch file name, Score: 0}
10. {Label: OID, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Length, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Component, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Carrier, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Bus, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: From Bus, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: To Bus, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Pnom, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Capital Cost, Match: capital Cost, Ontology: EnersharePriceProperty, Score: 1}
{Label: Marginal Cost, Match: marginal Cost, Ontology: EnersharePriceProperty, Score: 1}
{Label: input_series_source_type, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: input_series_source_uri, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: use_case_name, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: Investment Period, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: carrier, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: Capacity Factor, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: Capital Expenditure, Match: capital Cost, Ontology: EnershareProperty, Score: 1}  
{Label: Curtailment, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: Dispatch, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: Installed Capacity, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: Market Value, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: Operational Expenditure, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: Optimal Capacity, Match: has Energy Capacity, Ontology: EnershareSystem.txt, Score: 0.8}  
{Label: Revenue, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: Supply, Match: delivered Energy, Ontology: EnershareSystem.txt, Score: 0.7}  
{Label: Withdrawal, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: timestamp, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: min_total_load, Match: hasMinimumChargePower, Ontology: EnershareSystem.txt, Score: 0.8}  
{Label: max_total_load, Match: hasMaximumChargePower, Ontology: EnershareSystem.txt, Score: 0.8}  
{Label: min_total_load, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: max_total_load, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: total_load, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: actual_load, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: price, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: timestamp, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: lignite, Match: Coal Energy, Ontology: EnershareEnergyResource, Score: 1}  
{Label: natural_gas, Match: delivered Natural Gas Energy, Ontology: EnershareSystem, Score: 1}  
{Label: hydroelectric, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: renewables, Match: Photovoltaic Energy, Ontology: EnershareEnergyResource, Score: 1}  
{Label: net_imports, Match: has Electric Energy Consumption From Grid, Ontology: EnershareProperty, Score: 1}
{Label: res_forecast, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: res_injections, Match: has Electric Energy Consumption From Grid, Ontology: EnershareProperty, Score: 1}
{Label: net load, Match: has Total Electric Energy Load, Ontology: EnershareProperty, Score: 1}
{Label: total imports, Match: delivered Energy, Ontology: EnershareSystem, Score: 1}
{Label: total exports, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: gr_al, Match: class G, Ontology: PlatoonBuilding, Score: 1}
{Label: al_gr, Match: class G, Ontology: PlatoonBuilding, Score: 1}
{Label: gr_bg, Match: class G, Ontology: PlatoonBuilding, Score: 1}
{Label: bg_gr, Match: class G, Ontology: PlatoonBuilding, Score: 1}
{Label: gr_it, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: it_gr, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: gr_mk, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: mk_gr, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: gr_tr, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: tr_gr, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: timestamp, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: point_id, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: value, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: fossil_brown_coal/lignite, Match: Coal Energy, Ontology: EnershareEnergyResource, Score: 1}
{Label: fossil_gas, Match: GasFlowProperty, Ontology: EnershareSystem, Score: 1}  
{Label: fossil_oil, Match: FuelOilEnergy, Ontology: EnershareEnergyResource, Score: 1}  
{Label: hydro_pumped_storage, Match: noMatch, Ontology: noMatch, Score: 1}  
{Label: hydro_water_reservoir, Match: noMatch, Ontology: noMatch, Score: 1}  
{Label: solar, Match: Photovoltaic Energy, Ontology: EnershareEnergyResource, Score: 1}  
{Label: wind_onshore, Match: Onshore Wind Farm, Ontology: EnershareWindturbine, Score: 1}  
{Label: scheduled_generation, Match: noMatch, Ontology: noMatch, Score: 1}  
{Label: solar_dayahead, Match: noMatch, Ontology: noMatch, Score: 1}  
{Label: solar_intraday, Match: noMatch, Ontology: noMatch, Score: 1}  
{Label: wind_dayahead, Match: noMatch, Ontology: noMatch, Score: 1}  
{Label: wind_intraday, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: timestamp, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: point_id, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: value, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: point_type, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: min_delivery_pressure, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: max_delivery_pressure, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: entry_point, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: c1, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: c2, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: c3, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: i_c4, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: n_c4, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: i_c5, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: n_c5, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: neo_c5, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: c6_plus, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: n2, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: co2, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: gross_heating_value, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: wobbe_index, Match: Wobbe Index Property, Ontology: EnershareProperty.txt, Score: 1}
{Label: water_dew_point, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: hydrocarbon_dew_point_max, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: timestamp, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: point_id, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: value, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: point_type, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: point_type, Match: noMatch, Ontology: noMatch, Score: 1}  
{Label: timestamp, Match: noMatch, Ontology: noMatch, Score: 1}  
{Label: point_id, Match: noMatch, Ontology: noMatch, Score: 1}  
{Label: value, Match: noMatch, Ontology: noMatch, Score: 1}  
{Label: point_type, Match: noMatch, Ontology: noMatch, Score: 1}  
{Label: timestamp, Match: noMatch, Ontology: noMatch, Score: 1}  
{Label: point_id, Match: noMatch, Ontology: noMatch, Score: 1}  
{Label: value, Match: noMatch, Ontology: noMatch, Score: 1}  
{Label: point_type, Match: noMatch, Ontology: noMatch, Score: 1}  
{Label: t1, Match: noMatch, Ontology: noMatch, Score: 1}  
{Label: t2, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: p_TOTAL_avg, Match: hasTotalElectricEnergyLoad, Ontology: EnershareProperty, Score: 1}  
{Label: q_TOTAL_avg, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: v_AB_avg, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: v_BC_avg, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: v_CA_avg, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: freq_avg, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: a_AN_avg, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: a_BN_avg, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: a_CN_avg, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: node_id, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: stn, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: soc, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: fracsec, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: vm1, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: vm2, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: vm3, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: im1, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: im2, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: im3, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: vph1, Match: noMatch, Ontology: noMatch file name, Score: 1}
{Label: vph2, Match: noMatch, Ontology: noMatch file name, Score: 1}
{Label: vph3, Match: noMatch, Ontology: noMatch file name, Score: 1}
{Label: iph1, Match: noMatch, Ontology: noMatch file name, Score: 1}
{Label: iph2, Match: noMatch, Ontology: noMatch file name, Score: 1}
{Label: iph3, Match: noMatch, Ontology: noMatch file name, Score: 1}
{Label: f, Match: noMatch, Ontology: noMatch file name, Score: 1}
{Label: df, Match: noMatch, Ontology: noMatch file name, Score: 1}
{Label: vzsm, Match: noMatch, Ontology: noMatch file name, Score: 1}
{Label: izsm, Match: noMatch, Ontology: noMatch file name, Score: 1}
{Label: vzsph, Match: noMatch, Ontology: noMatch file name, Score: 1}
{Label: izsph, Match: noMatch, Ontology: noMatch file name, Score: 1}
{Label: digita, Match: noMatch, Ontology: noMatch file name, Score: 1}
{Label: analog, Match: noMatch, Ontology: noMatch file name, Score: 1}
{Label: MeasureID, Match: noMatch, Ontology: noMatch file name, Score: 1}
{Label: VehicleID, Match: noMatch, Ontology: noMatch file name, Score: 1}
{Label: Brand, Match: noMatch, Ontology: noMatch file name, Score: 1}
{Label: Model, Match: noMatch, Ontology: noMatch file name, Score: 1}
{Label: Battery Power (kW), Match: noMatch, Ontology: noMatch file name, Score: 1}
{Label: Battery Capacity (kWh), Match: noMatch, Ontology: noMatch file name, Score: 1}
{Label: Connector Type, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: Autonomy (km), Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: Odometer (km), Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: Battery SoC (%), Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: Timestamp, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: ocpp_device, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: id, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: type, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: integration, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: created_at, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: attributes, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: name, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: partner_name, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: user_id, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: connector_id, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: external_id, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: charge_point, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: vendor, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: model, Match: noMatch, Ontology: noMatch file name, Score: 0}  
{Label: serial_number, Match: noMatch, Ontology: noMatch file name, Score: 0}  
Here are the mappings for the provided labels:

